#topo1 ((fin.yell,fin.white),est.white,scot.yell);
#topo2 ((fin.yell,est.white),fin.white,scot.yell);
#topo3 ((fin.yell,scot.yell),fin.white,est.white);
topo1	topo2	topo3
139278	104482	90640
116521	113214	104665
108989	114879	110532
158702	105426	70272
143755	106509	84136
166141	80809	87450
161744	84638	88018
116924	125302	92174
112956	114136	107308
99286	157170	77944
76731	164063	93606
66170	179086	89144
83740	140612	110048
111439	111014	111947
140527	101482	92391
93309	138958	102133
97920	113776	122704
108305	106692	119403
174429	81200	78771
114077	106688	113635
99154	114982	120264
89720	147619	97061
113204	100602	120594
161884	92986	79530
142485	88943	102972
59530	130194	144676
100830	113724	119846
116785	104719	112896
109627	114696	110077
122198	100908	111294
95623	115785	122992
123876	71136	139388
109481	100492	124427
122764	100799	110837
81042	144636	108722
98706	133143	102551
109739	118671	105990
161360	82230	90810
126094	127731	80575
172332	78275	83793
108940	110508	114952
119266	101234	113900
121915	148534	63951
105032	110892	118476
120719	116520	97161
128224	117870	88306
111711	111742	110947
93168	89348	151884
142398	98152	93850
124861	100423	109116
125996	115452	92952
82742	149957	101701
112067	119846	102487
125633	114170	94597
122507	106931	104962
94460	159528	80412
110086	118765	105549
109558	108019	116823
104127	110676	119597
140702	95557	98141
186663	72060	75677
127576	93212	113612
103887	113739	116774
92830	133904	107666
121475	89792	123133
118334	100476	115590
93596	107442	133362
124887	117509	92004
148292	87488	98620
90546	119776	124078
91746	152496	90158
95066	125576	113758
130859	112658	90883
144002	101636	88762
101615	126846	105939
89594	128814	115992
100699	103844	129857
97128	122664	114608
88938	94829	150633
115674	112374	106352
119460	106757	108183
135067	94573	104760
109667	106540	118193
nan	nan	nan
141442	91526	101432
153307	77990	103103
116992	108984	108424
186039	78617	69744
85394	107898	141108
175767	81547	77086
173934	98828	61638
173162	94182	67056
110726	124598	99076
106752	127414	100234
128458	121408	84534
128236	119624	86540
135824	100455	98121
122515	118422	93463
163320	79802	91278
119469	111845	103086
116070	89442	128888
107186	114985	112229
79199	114861	140340
172190	98056	64154
147717	56039	130644
87688	163942	82770
116876	109764	107760
110478	110633	113289
161548	81878	90974
204099	51863	78438
148296	92524	93580
167518	91532	75350
91036	161172	82192
174448	74147	85805
116693	98604	119103
183042	85748	65610
156042	71834	106524
77315	101990	155095
131572	88957	113871
165750	81492	87158
173949	76536	83915
146900	74981	112519
175206	83854	75340
97639	85885	150876
84618	126910	122872
108114	128574	97712
115808	113224	105368
122378	106140	105882
nan	nan	nan
83596	105608	145196
89202	132201	112997
107970	118733	107697
162306	66250	105844
149377	66296	118727
96771	97540	140089
136338	84394	113668
148216	83460	102724
96636	113441	124323
138725	90370	105305
162536	86960	84904
99232	82930	152238
74342	108928	151130
109013	122634	102753
102300	103802	128298
133799	95374	105227
128009	99738	106653
99142	112974	122284
144948	106048	83404
70688	179444	84268
95038	160688	78674
38412	180256	115732
nan	nan	nan
78668	115891	139841
68662	138604	127134
120210	109926	104264
97201	111600	125599
50396	137688	146316
145377	91384	97639
80190	84522	169688
124654	109841	99905
nan	nan	nan
159628	85473	89299
184157	73001	77242
98887	119702	115811
179600	65888	88912
